30, 19, 38, 34, 40, 32, 46, 43, 58, 43
5, -18, -25, -40, -33, -55, -52, 20, 34, 28
-20, -63, -97, -92, 61, 53, 47, 49, 53, 75
-14, -53, -77, -79, 0, -3, -5, 19, 22, 26
-9, -53, -55, 66, 90, 72, 85, 68, 74, 52
-4, -41, -58, -31, -18, -31, 27, 32, 30, 18
24, 3, 8, 5, -12, -3, 26, 28, 74, 63
-2, -39, -67, -77, -106, -74, 59, 59, 73, 65
44, 40, 71, 72, 82, 83, 98, 88, 89, 60
-6, -31, -47, -48, -13, -39, -9, 7, 2, 79
-1, -39, -60, -17, 87, 81, 65, 50, 45, 19
-21, -67, -91, -87, -41, -50, 7, 18, 39, 74
10, -31, -28, 39, 24, 13, 23, 5, 56, 45
29, 10, -5, -13, -11, -35, -18, -8, -10, -8
-25, -71, -77, -21, 2, 16, 50, 63, 87, 87
5, -32, -40, -51, -68, 0, 12, 6, 54, 34
5, -12, 32, 52, 68, 64, 69, 59, 65, 45
14, -16, -31, -40, -65, -67, 41, 49, 47, 37
-11, -52, -75, -84, -4, 57, 48, 42, 42, 33
-11, -51, -68, -6, 13, 0, 8, -8, 26, 32
-23, -53, 0, 36, 56, 76, 97, 105, 111, 97
-1, -28, -39, -40, -43, -54, -44, -40, -18, 35
16, -20, -19, -28, -42, 29, 47, 38, 74, 45
3, -29, -48, -62, -80, -104, -33, 56, 59, 59
10, 17, 46, 72, 84, 101, 117, 123, 123, 106
-7, -33, -49, -51, -70, -67, -27, -31, 70, 67
-16, -62, -85, -20, 82, 71, 86, 80, 85, 74
-19, -58, -75, -45, -29, -33, -18, -25, 45, 57
-12, -42, -5, 12, 28, 36, 52, 64, 81, 82
13, -9, -27, -28, 22, 3, 2, 22, 26, 6
-6, -44, -51, 2, 15, 10, 48, 43, 49, 34
-19, -62, -84, -89, -102, -24, 8, 17, 61, 68
39, 24, 23, 19, 16, -5, 12, 15, 27, 15
-8, -44, -49, -60, -18, -32, -28, 52, 54, 62
-8, -48, -77, -70, 66, 101, 83, 63, 61, 37
-12, -50, -75, -64, 33, 17, 13, 25, 15, 77
1, -42, -29, 72, 64, 46, 49, 31, 61, 44
-8, -47, -54, -46, -30, 19, 20, -1, -16, 0
16, -12, -18, -9, -26, -27, -10, -22, 53, 45
-10, -47, -75, -82, -105, -109, 8, 25, 49, 77
50, 65, 114, 117, 124, 118, 115, 96, 90, 61
-9, -45, -63, -60, -75, -57, 8, 11, 20, 29
0, -35, -49, -43, 40, 47, 35, 40, 55, 38
-24, -76, -103, -112, -27, 3, 23, 34, 52, 75
8, -29, -43, 12, 63, 38, 35, 29, 24, 8
25, 11, 1, -15, -18, -43, -7, 37, 40, 21
-20, -56, -19, -19, -4, -2, 11, 29, 51, 63
-2, -44, -62, -75, -89, 30, 57, 51, 74, 51
50, 46, 68, 64, 65, 52, 63, 55, 65, 43
18, -9, -26, -35, -55, -69, 3, 6, 8, 17
-15, -61, -86, -97, 1, 86, 93, 74, 78, 67
-1, -38, -66, -48, 48, 39, 29, 25, 17, -1
13, 13, 29, 39, 50, 51, 69, 82, 97, 98
-2, -36, -46, -27, -16, -30, -13, -4, -7, -4
25, -5, -11, -6, -25, -21, 33, 12, 31, 29
-8, -38, -52, -63, -68, -89, -33, -1, 10, 74
-2, -15, 59, 91, 105, 105, 101, 87, 84, 62
-7, -33, -50, -35, -54, -47, 25, 17, 82, 81
-13, -56, -83, 21, 58, 31, 42, 25, 72, 65
-24, -66, -91, -56, 9, -2, 21, 10, 69, 75
2, -24, 11, 22, 25, 28, 38, 34, 48, 33
7, -29, -26, 17, 15, -1, 14, 0, -2, 0
-6, -41, -67, 6, -2, -9, 19, 2, 85, 74
-22, -67, -84, -71, -50, 3, 11, -9, 2, 62
