39, 12, -14, -20, -29, -61, -67, -76
-32, -71, -67, 68, 77, 46, 34, 5
-13, -48, -46, -72, -81, -84, -60, -58
-40, -28, 82, 93, 68, 45, 29, 3
-19, -47, -28, -43, -35, -30, -8, -13
-39, -91, -91, -123, -96, 10, 10, -6
-18, -55, -60, -91, -56, -36, -27, -16
-48, -75, 40, 28, -10, -28, 35, 9
37, 19, 1, -20, -31, -41, -18, -25
-35, -68, -80, 45, 27, -1, 47, 13
0, -29, -35, -57, -50, -79, -73, -38
-19, 5, 35, 14, -10, -23, 16, -8
5, -24, -40, -62, -23, -27, -22, -16
-18, -46, -72, -77, 43, 21, 33, 1
-80, -70, -70, -64, -56, -52, -39, -33
-31, -38, -19, -19, -15, 32, 33, -2
7, -15, -15, -24, -23, -33, -41, -56
-24, -57, 5, 89, 64, 41, 27, 5
-9, -47, -60, -97, -97, -124, -20, -9
-44, -73, 31, 29, -4, 64, 48, 7
-35, -57, 0, -3, -26, -47, -3, -6
-40, -76, -79, -48, 12, 81, 55, 10
9, -24, -43, -73, -57, -69, 16, 5
-28, -53, 18, 29, 20, 0, -4, -11
6, -13, 23, 7, -17, -35, -37, -37
-30, -68, -63, 6, 24, -9, -14, 3
21, -13, -27, -57, -49, -80, -24, -41
-5, -16, -5, 1, 45, 25, 12, -7
3, -15, -6, -16, -15, -8, 6, -13
-42, -81, -80, -87, 14, 1, -10, -3
-43, -69, -46, -24, -28, -29, 36, 6
-43, -56, -12, 12, 54, 79, 43, 9
54, 22, 2, 8, -12, -43, -46, -52
-38, -69, -89, -5, 75, 38, 33, 5
-13, -53, -62, -87, -89, -113, -99, -55
-34, -37, 62, 55, 33, 16, 21, -2
-17, -46, -29, -38, -38, -48, -39, -42
-36, -75, -72, -88, -48, -30, 21, 2
-15, -57, -64, -98, -84, -76, 25, 1
-46, -80, -12, 18, -7, 3, 34, 6
38, 31, 23, 4, -1, 20, 14, -15
-43, -78, -91, -24, 14, -3, 54, 16
0, -27, -28, -44, -56, -83, -92, -89
-3, 34, 56, 41, 36, 22, 20, -8
-7, -35, -42, -62, -49, 3, 12, -10
-50, -87, -96, -66, 92, 70, 38, 9
-70, -71, -62, -42, -39, -43, -11, -7
-50, -79, -58, -50, -31, 32, 31, -6
-4, -25, 7, -17, -38, -70, -58, -27
-43, -83, -28, 59, 36, 20, 31, 2
-27, -71, -80, -109, -98, -75, -33, -32
-31, -2, 33, 15, -6, 43, 33, -5
0, -22, -10, -27, -34, -49, -11, -20
-41, -91, -100, -121, -39, 57, 41, 10
-19, -50, -38, -59, -60, -70, -18, -20
-8, -31, -8, -15, 1, -14, -26, -25
33, 21, 32, 17, 1, -19, -19, -26
-58, -81, -35, -22, 45, 30, 11, -11
3, -26, -48, -87, -67, -83, -58, 3
-1, -26, -20, 44, 10, 25, 39, 5
-9, -35, -27, -38, 7, 10, 4, -9
-42, -85, -102, -127, 52, 44, 28, 10
-47, -61, -40, -39, -17, -1, -10, -33
-42, -74, -48, 21, -4, 70, 52, 10
