-36, -62, 6, -9, -10, -14, -56, 23
1, -26, 23, -48, -17, 12, 8, -7
23, 29, -36, -28, -6, -29, -17, -5
40, 23, 10, 10, -46, -13, 36, 6
4, -30, -29, 62, 32, -32, -1, 22
-14, 1, -4, -22, -45, 2, 54, 4
-30, -57, -59, -12, 27, -3, -31, 8
-9, 5, 10, -14, 32, 66, 19, 9
2, -25, -37, 23, -15, 18, -38, -31
5, -9, -21, 15, 0, 22, 62, 30
15, -12, -14, -46, 77, 21, 33, 3
34, 29, -19, 50, 2, 11, 9, -38
-12, -37, 62, 1, -15, 54, 32, 6
2, -24, 20, 35, -21, 2, 19, 24
-13, 55, 4, 9, 39, -19, 30, -1
-21, 73, 54, 33, 8, 18, 3, 15
6, -19, -47, 6, -3, -48, -50, 1
26, 20, 8, -23, -50, 65, -14, -55
-17, -31, -37, -28, 53, -1, -17, -53
1, 57, 11, -8, -25, -30, -37, 64
5, -52, -45, 15, 23, 31, 15, 14
-25, 24, 33, -2, -44, -56, -18, 6
-21, -43, 4, -12, 17, -37, 20, -10
34, 15, 2, 15, 55, 21, -11, -31
-6, 46, 25, 16, -9, -25, -8, -62
28, 17, 20, -32, -29, 26, 30, 25
-19, 2, -16, -17, 26, -51, 2, 50
42, 19, -66, 23, 29, -2, 3, 19
-19, -37, 32, 15, 6, 30, -34, 13
11, -5, 40, 31, 10, -42, 4, -9
26, -9, -70, 17, -2, -23, 20, -22
-55, 51, -24, -31, 22, -22, 15, -13
3, -10, -28, -16, 56, 4, -63, 11
-18, -15, -18, -38, -35, 16, -7, 34
-1, -21, -49, -47, 9, -37, 7, 8
69, 55, 20, 6, -33, -45, -10, -9
6, -9, 12, 71, 15, -3, -42, -7
-24, 32, -35, -2, -42, -17, -5, 0
-2, -33, -54, 13, -12, -34, 47, 23
19, 55, 7, -8, 74, 31, 14, 16
-23, -26, 19, 12, -18, -49, -28, -31
-20, 2, -14, -20, -47, 78, 40, 13
-23, -11, 21, -6, 18, 1, 47, 5
38, 35, 32, 46, 22, 8, 13, 16
-14, 18, 51, 19, 40, 39, 11, -26
-1, -17, 47, 2, -53, -15, 31, -22
38, 21, -15, -16, 5, -33, 53, 15
-38, 86, 11, -3, -24, 49, 13, -4
-11, -18, 28, 20, -12, -27, -26, 35
-25, -35, -3, -20, -61, 30, 10, -55
-12, -22, -52, -54, -14, 19, -32, -12
45, 15, -8, -48, -9, 11, -32, 8
-16, -34, -13, 51, 18, 38, -2, -32
-17, 22, -2, -18, -28, -70, 59, 27
-28, -19, -10, -20, -9, -9, -8, -21
21, -8, 35, -2, 45, -3, -9, 12
0, 30, 7, -39, 43, 27, -38, -91
30, 26, 19, -55, -4, 63, 14, -17
13, 9, 13, 2, 7, 4, 6, 61
72, -1, -17, 29, -1, -22, -17, 8
-28, -37, 63, 44, 41, 3, 2, 14
9, -6, 75, -8, -7, -12, -15, -12
13, 9, -4, 30, -22, -65, 15, 0
-45, 4, -4, 1, 5, 22, 11, 23
