22, 39, 14, 44, 11, 35, -2, 23, -4, 6
46, -28, 13, -27, -23, 12, 4, 20, -5, 9
37, -18, -23, 23, 0, 9, -6, -20, 4, -1
-17, -5, -4, 17, 0, 1, 9, -2, 1, 2
2, -12, 8, -25, 39, 15, 9, 16, -55, -11
9, 11, 5, 10, -2, -60, 8, 13, -6, 11
-16, 27, -47, -12, 11, 1, 16, -7, 9, -3
-29, 9, -14, 25, -19, 34, 36, 12, 40, -10
-3, -24, -14, -37, -21, -35, -2, -36, 3, -6
67, 28, 6, -17, -3, -12, -16, -15, -17, -7
-59, -36, -13, 1, 7, 1, 2, 10, 2, 11
13, 10, 8, -2, 7, 3, 5, 4, 2, 2
-3, -8, 4, -5, 6, 7, -42, 15, 35, -2
-46, 38, 28, -20, -9, 1, 7, -3, 0, -2
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
-15, -28, 52, 32, 5, -5, -17, -20, -10, -1
