-6, 53, -21, -24, 4
26, 17, -4, -37, 25
17, -36, -13, 31, 3
-6, 27, 15, -10, 31
28, 26, -10, -10, -40
16, -7, 15, 13, 41
-9, 0, -4, 50, -6
-7, 14, 38, 22, 0
-48, 2, 1, -13, -19
32, -3, -60, 11, -17
-1, -24, -34, -1, 35
-5, -27, 28, 44, 13
25, 15, 42, -11, 15
51, 35, -36, 20, 8
-4, -12, -29, 19, -47
49, -15, -4, 16, -29
-39, 14, -30, 4, 25
-9, -5, -51, -14, -3
-40, -32, 38, 5, -9
-8, -4, -1, -22, 71
-3, 14, 26, -18, -22
24, -41, -25, -24, 6
23, 19, -10, 39, -26
-27, 65, 45, 2, -7
-26, -8, 22, -12, 16
15, 16, -35, -5, 33
-21, -8, 0, 23, 33
34, 6, 21, 36, 6
-7, -22, 8, -37, -14
31, 38, 11, -4, -3
-39, -32, -8, 32, -23
-6, -12, 16, 20, -28
-4, 23, 13, -52, -1
22, 6, -33, -40, -6
4, -62, 13, 5, -26
35, 39, 11, 2, 57
-11, 9, -20, -28, -33
52, -5, -6, -2, 22
-14, -16, -48, 35, 1
-58, 20, 13, 33, -1
-74, 56, -18, -22, -31
12, 6, -14, 4, -2
-9, -47, 10, -3, 29
-17, -5, 61, 14, 47
-12, 2, 72, -39, -17
92, 64, -53, -51, -15
-30, -38, -41, -29, -28
27, 9, 36, 9, -35
-42, 81, -21, 20, 25
-16, -5, -17, -35, 21
15, -28, 48, 2, -2
9, -19, 29, -40, 30
-18, -18, 18, -16, -57
15, -20, -12, -15, -37
-15, 33, -39, 21, -22
-13, 35, 11, 13, -38
-63, 29, 23, -27, 32
18, 3, -26, 42, 33
-64, -66, -17, 16, 56
2, 36, 3, 31, 21
-41, -39, 8, -57, 14
37, -2, 19, -36, -19
-23, -29, -16, 1, -3
-8, -10, 31, 64, -65
