-26, -8, 29, 21, 4
19, -39, 33, -7, -36
56, 54, 48, 40, 29
-4, -24, -42, -66, -43
-60, 19, -2, 37, 41
-10, -37, -60, -64, 18
-22, 77, 73, 40, 25
4, 19, -19, -66, -2
11, 5, 21, 14, 26
-25, -86, -4, 18, 1
26, -37, 10, 37, -1
24, -12, -59, -11, 20
-6, 34, -16, -16, 42
19, -28, -51, 53, 32
4, 10, 62, 21, -12
-34, 27, 4, -48, -48
-50, -49, 31, -7, -21
-42, -25, -4, -43, -22
59, 2, 27, 12, -9
-6, -16, -8, -32, -58
-16, -29, -5, 41, 23
-30, -33, -46, -13, -10
-38, 52, 52, 1, -17
-9, 10, 26, -25, -6
33, -20, 53, 55, 25
-32, -5, -42, 23, 21
66, 5, -28, 20, 9
75, 29, -7, -42, -39
15, 3, -23, 21, 6
11, 1, -29, 14, 63
10, 54, 26, -24, -51
-49, 7, -23, -51, 15
-66, 1, 60, 25, 10
0, -30, -4, -15, 17
19, 59, 40, 4, -5
33, 6, -22, -58, -70
-5, 23, -6, 60, 44
-29, -16, -47, -29, 52
-19, 50, 28, 16, 35
31, 36, 0, -21, 6
21, 27, 22, 42, 7
-66, -40, -8, 7, 19
46, 0, -4, 60, 36
45, -7, -29, -6, -32
-39, 2, 6, -9, 33
20, -51, -34, 18, -6
19, 6, 11, 5, -19
-29, -2, 42, -11, -45
-21, -55, 57, 37, 2
-14, -67, -16, -27, -38
69, 48, 19, 2, -17
20, -20, -16, -34, -17
-25, -61, 10, 73, 45
16, -40, -64, -17, -29
-22, 56, 17, -39, 8
-11, 8, -25, -18, -13
-19, 8, 54, 57, 36
-17, -26, -4, 6, -21
40, 42, -4, 20, 31
53, 10, -34, -53, 31
-17, 35, 0, 15, -6
-20, -63, -73, 22, 25
29, 17, 8, -29, -39
-69, 18, 15, -15, -5
