-32, -32, -32, 0
-31, -58, -16, 22
-41, -24, -43, 14
-56, -22, -55, 29
-13, 33, -41, 47
-4, -39, -9, 29
-41, 15, -12, 38
-8, -15, -12, 31
1, 2, -44, 40
-22, -66, -42, 27
-38, 28, -23, 38
-21, 14, -37, 31
0, 21, -50, 52
-53, -71, -27, 33
-37, -1, -19, 25
-19, -5, -28, 22
6, 65, -44, 74
-33, -48, -33, 9
-40, 57, -14, 58
-17, 4, -45, 32
-31, 38, -33, 36
-23, 28, -40, 39
-43, 29, -12, 46
-34, 13, -23, 28
-16, 15, -27, 34
-14, -82, -15, 43
-31, 25, -32, 29
-21, 5, -5, 38
-47, -63, -51, 33
-46, 12, 3, 47
-28, -17, -29, 11
-10, 14, -40, 38
